Additional Descriptions,All Highlight Fields,Common Names,Data Type,Derivation Code,Derivation Description,Description,Document Index (generated),Fdc Id,Food Code,foodNutrients Index (generated),foods Index (generated),Ndb Number,Nutrient Id,Nutrient Name,Nutrient Number,Published Date,Scientific Name,Unit Name,Number of Records per result.json,Score,Value
,,,SR Legacy,Z,"Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)",Bananas,1,173944,,41,14,9040,1246,"Vitamin B-12, added",578,4/1/2019,Musa acuminata Colla,UG,1,314.3931,0
,,,SR Legacy,Z,"Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)",Bananas,1,173944,,42,14,9040,1242,"Vitamin E, added",573,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0
,,,SR Legacy,Z,"Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)",Bananas,1,173944,,43,14,9040,1057,Caffeine,262,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0
,,,SR Legacy,Z,"Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)",Bananas,1,173944,,44,14,9040,1058,Theobromine,263,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0
,,,SR Legacy,Z,"Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)",Bananas,1,173944,,45,14,9040,1114,Vitamin D (D2 + D3),328,4/1/2019,Musa acuminata Colla,UG,1,314.3931,0
,,,SR Legacy,A,Analytical,Bananas,1,173944,,46,14,9040,1184,Vitamin K (Dihydrophylloquinone),429,4/1/2019,Musa acuminata Colla,UG,1,314.3931,0
,,,SR Legacy,A,Analytical,Bananas,1,173944,,47,14,9040,1185,Vitamin K (phylloquinone),430,4/1/2019,Musa acuminata Colla,UG,1,314.3931,0.5
,,,SR Legacy,A,Analytical,Bananas,1,173944,,48,14,9040,1120,"Cryptoxanthin, beta",334,4/1/2019,Musa acuminata Colla,UG,1,314.3931,0
,,,SR Legacy,A,Analytical,Bananas,1,173944,,49,14,9040,1122,Lycopene,337,4/1/2019,Musa acuminata Colla,UG,1,314.3931,0
,,,SR Legacy,A,Analytical,Bananas,1,173944,,50,14,9040,1127,"Tocopherol, delta",343,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0.01
,,,SR Legacy,A,Analytical,Bananas,1,173944,,51,14,9040,1130,"Tocotrienol, gamma",346,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0
,,,SR Legacy,A,Analytical,Bananas,1,173944,,52,14,9040,1131,"Tocotrienol, delta",347,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0
,,,SR Legacy,A,Analytical,Bananas,1,173944,,53,14,9040,1162,"Vitamin C, total ascorbic acid",401,4/1/2019,Musa acuminata Colla,MG,1,314.3931,8.7
,,,SR Legacy,A,Analytical,Bananas,1,173944,,54,14,9040,1165,Thiamin,404,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0.031
,,,SR Legacy,A,Analytical,Bananas,1,173944,,55,14,9040,1166,Riboflavin,405,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0.073
,,,SR Legacy,A,Analytical,Bananas,1,173944,,56,14,9040,1177,"Folate, total",417,4/1/2019,Musa acuminata Colla,UG,1,314.3931,20
,,,SR Legacy,A,Analytical,Bananas,1,173944,,57,14,9040,1210,Tryptophan,501,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.009
,,,SR Legacy,A,Analytical,Bananas,1,173944,,58,14,9040,1211,Threonine,502,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.028
,,,SR Legacy,A,Analytical,Bananas,1,173944,,59,14,9040,1215,Methionine,506,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.008
,,,SR Legacy,A,Analytical,Bananas,1,173944,,60,14,9040,1217,Phenylalanine,508,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.049
,,,SR Legacy,A,Analytical,Bananas,1,173944,,61,14,9040,1218,Tyrosine,509,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.009
,,,SR Legacy,A,Analytical,Bananas,1,173944,,62,14,9040,1222,Alanine,513,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.04
,,,SR Legacy,A,Analytical,Bananas,1,173944,,63,14,9040,1224,Glutamic acid,515,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.152
,,,SR Legacy,A,Analytical,Bananas,1,173944,,64,14,9040,1225,Glycine,516,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.038
,,,SR Legacy,A,Analytical,Bananas,1,173944,,65,14,9040,1226,Proline,517,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.028
,,,SR Legacy,A,Analytical,Bananas,1,173944,,66,14,9040,1107,"Carotene, beta",321,4/1/2019,Musa acuminata Colla,UG,1,314.3931,26
,,,SR Legacy,A,Analytical,Bananas,1,173944,,67,14,9040,1108,"Carotene, alpha",322,4/1/2019,Musa acuminata Colla,UG,1,314.3931,25
,,,SR Legacy,A,Analytical,Bananas,1,173944,,68,14,9040,1075,Galactose,287,4/1/2019,Musa acuminata Colla,G,1,314.3931,0
,,,SR Legacy,A,Analytical,Bananas,1,173944,,69,14,9040,1079,"Fiber, total dietary",291,4/1/2019,Musa acuminata Colla,G,1,314.3931,2.6
,,,SR Legacy,A,Analytical,Bananas,1,173944,,70,14,9040,1089,"Iron, Fe",303,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0.26
,,,SR Legacy,A,Analytical,Bananas,1,173944,,71,14,9040,1090,"Magnesium, Mg",304,4/1/2019,Musa acuminata Colla,MG,1,314.3931,27
,,,SR Legacy,A,Analytical,Bananas,1,173944,,72,14,9040,1091,"Phosphorus, P",305,4/1/2019,Musa acuminata Colla,MG,1,314.3931,22
,,,SR Legacy,A,Analytical,Bananas,1,173944,,73,14,9040,1093,"Sodium, Na",307,4/1/2019,Musa acuminata Colla,MG,1,314.3931,1
,,,SR Legacy,A,Analytical,Bananas,1,173944,,74,14,9040,1098,"Copper, Cu",312,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0.078
,,,SR Legacy,A,Analytical,Bananas,1,173944,,75,14,9040,1101,"Manganese, Mn",315,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0.27
,,,SR Legacy,A,Analytical,Bananas,1,173944,,76,14,9040,1003,Protein,203,4/1/2019,Musa acuminata Colla,G,1,314.3931,1.09
,,,SR Legacy,A,Analytical,Bananas,1,173944,,77,14,9040,1007,Ash,207,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.82
,,,SR Legacy,A,Analytical,Bananas,1,173944,,78,14,9040,1009,Starch,209,4/1/2019,Musa acuminata Colla,G,1,314.3931,5.38
,,,SR Legacy,A,Analytical,Bananas,1,173944,,79,14,9040,1012,Fructose,212,4/1/2019,Musa acuminata Colla,G,1,314.3931,4.85
,,,SR Legacy,A,Analytical,Bananas,1,173944,,80,14,9040,1013,Lactose,213,4/1/2019,Musa acuminata Colla,G,1,314.3931,0
,,,SR Legacy,A,Analytical,Bananas,1,173944,,81,14,9040,2000,"Sugars, total including NLEA",269,4/1/2019,Musa acuminata Colla,G,1,314.3931,12.23
,,,SR Legacy,A,Analytical,Bananas,1,173944,,82,14,9040,1087,"Calcium, Ca",301,4/1/2019,Musa acuminata Colla,MG,1,314.3931,5
,,,SR Legacy,A,Analytical,Bananas,1,173944,,83,14,9040,1092,"Potassium, K",306,4/1/2019,Musa acuminata Colla,MG,1,314.3931,358
,,,SR Legacy,A,Analytical,Bananas,1,173944,,84,14,9040,1095,"Zinc, Zn",309,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0.15
,,,SR Legacy,A,Analytical,Bananas,1,173944,,85,14,9040,1010,Sucrose,210,4/1/2019,Musa acuminata Colla,G,1,314.3931,2.39
,,,SR Legacy,A,Analytical,Bananas,1,173944,,86,14,9040,1011,Glucose (dextrose),211,4/1/2019,Musa acuminata Colla,G,1,314.3931,4.98
,,,SR Legacy,A,Analytical,Bananas,1,173944,,87,14,9040,1014,Maltose,214,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.01
,,,SR Legacy,A,Analytical,Bananas,1,173944,,88,14,9040,1051,Water,255,4/1/2019,Musa acuminata Colla,G,1,314.3931,74.91
,,,SR Legacy,A,Analytical,Bananas,1,173944,,89,14,9040,1004,Total lipid (fat),204,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.33
,,,SR Legacy,A,Analytical,Bananas,1,173944,,90,14,9040,1212,Isoleucine,503,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.028
,,,SR Legacy,A,Analytical,Bananas,1,173944,,91,14,9040,1213,Leucine,504,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.068
,,,SR Legacy,A,Analytical,Bananas,1,173944,,92,14,9040,1214,Lysine,505,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.05
,,,SR Legacy,A,Analytical,Bananas,1,173944,,93,14,9040,1216,Cystine,507,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.009
,,,SR Legacy,A,Analytical,Bananas,1,173944,,94,14,9040,1219,Valine,510,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.047
,,,SR Legacy,A,Analytical,Bananas,1,173944,,95,14,9040,1220,Arginine,511,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.049
,,,SR Legacy,A,Analytical,Bananas,1,173944,,96,14,9040,1221,Histidine,512,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.077
,,,SR Legacy,A,Analytical,Bananas,1,173944,,97,14,9040,1223,Aspartic acid,514,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.124
,,,SR Legacy,A,Analytical,Bananas,1,173944,,98,14,9040,1227,Serine,518,4/1/2019,Musa acuminata Colla,G,1,314.3931,0.04
,,,SR Legacy,A,Analytical,Bananas,1,173944,,99,14,9040,1123,Lutein + zeaxanthin,338,4/1/2019,Musa acuminata Colla,UG,1,314.3931,22
,,,SR Legacy,A,Analytical,Bananas,1,173944,,100,14,9040,1125,"Tocopherol, beta",341,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0
,,,SR Legacy,A,Analytical,Bananas,1,173944,,101,14,9040,1126,"Tocopherol, gamma",342,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0.02
,,,SR Legacy,A,Analytical,Bananas,1,173944,,102,14,9040,1128,"Tocotrienol, alpha",344,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0.06
,,,SR Legacy,A,Analytical,Bananas,1,173944,,103,14,9040,1129,"Tocotrienol, beta",345,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0
,,,SR Legacy,A,Analytical,Bananas,1,173944,,104,14,9040,1167,Niacin,406,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0.665
,,,SR Legacy,A,Analytical,Bananas,1,173944,,105,14,9040,1170,Pantothenic acid,410,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0.334
,,,SR Legacy,A,Analytical,Bananas,1,173944,,106,14,9040,1175,Vitamin B-6,415,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0.367
,,,SR Legacy,A,Analytical,Bananas,1,173944,,107,14,9040,1103,"Selenium, Se",317,4/1/2019,Musa acuminata Colla,UG,1,314.3931,1
,,,SR Legacy,A,Analytical,Bananas,1,173944,,108,14,9040,1109,Vitamin E (alpha-tocopherol),323,4/1/2019,Musa acuminata Colla,MG,1,314.3931,0.1
,,,Survey (FNDDS),,,Basil,1,787787,75109400,1,15,,1003,Protein,203,4/1/2020,,G,1,314.3931,3.15
,,,Survey (FNDDS),,,Basil,1,787787,75109400,2,15,,1004,Total lipid (fat),204,4/1/2020,,G,1,314.3931,0.64
,,,Survey (FNDDS),,,Basil,1,787787,75109400,3,15,,1005,"Carbohydrate, by difference",205,4/1/2020,,G,1,314.3931,2.65
,,,Survey (FNDDS),,,Basil,1,787787,75109400,4,15,,1008,Energy,208,4/1/2020,,KCAL,1,314.3931,23
,,,Survey (FNDDS),,,Basil,1,787787,75109400,5,15,,1018,"Alcohol, ethyl",221,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,6,15,,1051,Water,255,4/1/2020,,G,1,314.3931,92.06
,,,Survey (FNDDS),,,Basil,1,787787,75109400,7,15,,1057,Caffeine,262,4/1/2020,,MG,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,8,15,,1058,Theobromine,263,4/1/2020,,MG,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,9,15,,2000,"Sugars, total including NLEA",269,4/1/2020,,G,1,314.3931,0.3
,,,Survey (FNDDS),,,Basil,1,787787,75109400,10,15,,1079,"Fiber, total dietary",291,4/1/2020,,G,1,314.3931,1.6
,,,Survey (FNDDS),,,Basil,1,787787,75109400,11,15,,1087,"Calcium, Ca",301,4/1/2020,,MG,1,314.3931,177
,,,Survey (FNDDS),,,Basil,1,787787,75109400,12,15,,1089,"Iron, Fe",303,4/1/2020,,MG,1,314.3931,3.17
,,,Survey (FNDDS),,,Basil,1,787787,75109400,13,15,,1090,"Magnesium, Mg",304,4/1/2020,,MG,1,314.3931,64
,,,Survey (FNDDS),,,Basil,1,787787,75109400,14,15,,1091,"Phosphorus, P",305,4/1/2020,,MG,1,314.3931,56
,,,Survey (FNDDS),,,Basil,1,787787,75109400,15,15,,1092,"Potassium, K",306,4/1/2020,,MG,1,314.3931,295
,,,Survey (FNDDS),,,Basil,1,787787,75109400,16,15,,1093,"Sodium, Na",307,4/1/2020,,MG,1,314.3931,4
,,,Survey (FNDDS),,,Basil,1,787787,75109400,17,15,,1095,"Zinc, Zn",309,4/1/2020,,MG,1,314.3931,0.81
,,,Survey (FNDDS),,,Basil,1,787787,75109400,18,15,,1098,"Copper, Cu",312,4/1/2020,,MG,1,314.3931,0.385
,,,Survey (FNDDS),,,Basil,1,787787,75109400,19,15,,1103,"Selenium, Se",317,4/1/2020,,UG,1,314.3931,0.3
,,,Survey (FNDDS),,,Basil,1,787787,75109400,20,15,,1105,Retinol,319,4/1/2020,,UG,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,21,15,,1106,"Vitamin A, RAE",320,4/1/2020,,UG,1,314.3931,264
,,,Survey (FNDDS),,,Basil,1,787787,75109400,22,15,,1107,"Carotene, beta",321,4/1/2020,,UG,1,314.3931,3142
,,,Survey (FNDDS),,,Basil,1,787787,75109400,23,15,,1108,"Carotene, alpha",322,4/1/2020,,UG,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,24,15,,1109,Vitamin E (alpha-tocopherol),323,4/1/2020,,MG,1,314.3931,0.8
,,,Survey (FNDDS),,,Basil,1,787787,75109400,25,15,,1114,Vitamin D (D2 + D3),328,4/1/2020,,UG,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,26,15,,1120,"Cryptoxanthin, beta",334,4/1/2020,,UG,1,314.3931,46
,,,Survey (FNDDS),,,Basil,1,787787,75109400,27,15,,1122,Lycopene,337,4/1/2020,,UG,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,28,15,,1123,Lutein + zeaxanthin,338,4/1/2020,,UG,1,314.3931,5650
,,,Survey (FNDDS),,,Basil,1,787787,75109400,29,15,,1162,"Vitamin C, total ascorbic acid",401,4/1/2020,,MG,1,314.3931,18
,,,Survey (FNDDS),,,Basil,1,787787,75109400,30,15,,1165,Thiamin,404,4/1/2020,,MG,1,314.3931,0.034
,,,Survey (FNDDS),,,Basil,1,787787,75109400,31,15,,1166,Riboflavin,405,4/1/2020,,MG,1,314.3931,0.076
,,,Survey (FNDDS),,,Basil,1,787787,75109400,32,15,,1167,Niacin,406,4/1/2020,,MG,1,314.3931,0.902
,,,Survey (FNDDS),,,Basil,1,787787,75109400,33,15,,1175,Vitamin B-6,415,4/1/2020,,MG,1,314.3931,0.155
,,,Survey (FNDDS),,,Basil,1,787787,75109400,34,15,,1177,"Folate, total",417,4/1/2020,,UG,1,314.3931,68
,,,Survey (FNDDS),,,Basil,1,787787,75109400,35,15,,1178,Vitamin B-12,418,4/1/2020,,UG,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,36,15,,1180,"Choline, total",421,4/1/2020,,MG,1,314.3931,11.4
,,,Survey (FNDDS),,,Basil,1,787787,75109400,37,15,,1185,Vitamin K (phylloquinone),430,4/1/2020,,UG,1,314.3931,414.8
,,,Survey (FNDDS),,,Basil,1,787787,75109400,38,15,,1186,Folic acid,431,4/1/2020,,UG,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,39,15,,1187,"Folate, food",432,4/1/2020,,UG,1,314.3931,68
,,,Survey (FNDDS),,,Basil,1,787787,75109400,40,15,,1190,"Folate, DFE",435,4/1/2020,,UG,1,314.3931,68
,,,Survey (FNDDS),,,Basil,1,787787,75109400,41,15,,1242,"Vitamin E, added",573,4/1/2020,,MG,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,42,15,,1246,"Vitamin B-12, added",578,4/1/2020,,UG,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,43,15,,1253,Cholesterol,601,4/1/2020,,MG,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,44,15,,1258,"Fatty acids, total saturated",606,4/1/2020,,G,1,314.3931,0.041
,,,Survey (FNDDS),,,Basil,1,787787,75109400,45,15,,1259,4:00,607,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,46,15,,1260,6:00,608,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,47,15,,1261,8:00,609,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,48,15,,1262,10:00,610,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,49,15,,1263,12:00,611,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,50,15,,1264,14:00,612,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,51,15,,1265,16:00,613,4/1/2020,,G,1,314.3931,0.036
,,,Survey (FNDDS),,,Basil,1,787787,75109400,52,15,,1266,18:00,614,4/1/2020,,G,1,314.3931,0.005
,,,Survey (FNDDS),,,Basil,1,787787,75109400,53,15,,1268,18:01,617,4/1/2020,,G,1,314.3931,0.088
,,,Survey (FNDDS),,,Basil,1,787787,75109400,54,15,,1269,18:02,618,4/1/2020,,G,1,314.3931,0.073
,,,Survey (FNDDS),,,Basil,1,787787,75109400,55,15,,1270,18:03,619,4/1/2020,,G,1,314.3931,0.316
,,,Survey (FNDDS),,,Basil,1,787787,75109400,56,15,,1271,20:04,620,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,57,15,,1272,22:6 n-3 (DHA),621,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,58,15,,1275,16:01,626,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,59,15,,1276,18:04,627,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,60,15,,1277,20:01,628,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,61,15,,1278,20:5 n-3 (EPA),629,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,62,15,,1279,22:01,630,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,63,15,,1280,22:5 n-3 (DPA),631,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Basil,1,787787,75109400,64,15,,1292,"Fatty acids, total monounsaturated",645,4/1/2020,,G,1,314.3931,0.088
,,,Survey (FNDDS),,,Basil,1,787787,75109400,65,15,,1293,"Fatty acids, total polyunsaturated",646,4/1/2020,,G,1,314.3931,0.389
,,,Survey (FNDDS),,,Beets,1,787777,75102500,1,16,,1003,Protein,203,4/1/2020,,G,1,314.3931,1.61
,,,Survey (FNDDS),,,Beets,1,787777,75102500,2,16,,1004,Total lipid (fat),204,4/1/2020,,G,1,314.3931,0.17
,,,Survey (FNDDS),,,Beets,1,787777,75102500,3,16,,1005,"Carbohydrate, by difference",205,4/1/2020,,G,1,314.3931,9.56
,,,Survey (FNDDS),,,Beets,1,787777,75102500,4,16,,1008,Energy,208,4/1/2020,,KCAL,1,314.3931,43
,,,Survey (FNDDS),,,Beets,1,787777,75102500,5,16,,1018,"Alcohol, ethyl",221,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,6,16,,1051,Water,255,4/1/2020,,G,1,314.3931,87.58
,,,Survey (FNDDS),,,Beets,1,787777,75102500,7,16,,1057,Caffeine,262,4/1/2020,,MG,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,8,16,,1058,Theobromine,263,4/1/2020,,MG,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,9,16,,2000,"Sugars, total including NLEA",269,4/1/2020,,G,1,314.3931,6.76
,,,Survey (FNDDS),,,Beets,1,787777,75102500,10,16,,1079,"Fiber, total dietary",291,4/1/2020,,G,1,314.3931,2.8
,,,Survey (FNDDS),,,Beets,1,787777,75102500,11,16,,1087,"Calcium, Ca",301,4/1/2020,,MG,1,314.3931,16
,,,Survey (FNDDS),,,Beets,1,787777,75102500,12,16,,1089,"Iron, Fe",303,4/1/2020,,MG,1,314.3931,0.8
,,,Survey (FNDDS),,,Beets,1,787777,75102500,13,16,,1090,"Magnesium, Mg",304,4/1/2020,,MG,1,314.3931,23
,,,Survey (FNDDS),,,Beets,1,787777,75102500,14,16,,1091,"Phosphorus, P",305,4/1/2020,,MG,1,314.3931,40
,,,Survey (FNDDS),,,Beets,1,787777,75102500,15,16,,1092,"Potassium, K",306,4/1/2020,,MG,1,314.3931,325
,,,Survey (FNDDS),,,Beets,1,787777,75102500,16,16,,1093,"Sodium, Na",307,4/1/2020,,MG,1,314.3931,78
,,,Survey (FNDDS),,,Beets,1,787777,75102500,17,16,,1095,"Zinc, Zn",309,4/1/2020,,MG,1,314.3931,0.35
,,,Survey (FNDDS),,,Beets,1,787777,75102500,18,16,,1098,"Copper, Cu",312,4/1/2020,,MG,1,314.3931,0.075
,,,Survey (FNDDS),,,Beets,1,787777,75102500,19,16,,1103,"Selenium, Se",317,4/1/2020,,UG,1,314.3931,0.7
,,,Survey (FNDDS),,,Beets,1,787777,75102500,20,16,,1105,Retinol,319,4/1/2020,,UG,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,21,16,,1106,"Vitamin A, RAE",320,4/1/2020,,UG,1,314.3931,2
,,,Survey (FNDDS),,,Beets,1,787777,75102500,22,16,,1107,"Carotene, beta",321,4/1/2020,,UG,1,314.3931,20
,,,Survey (FNDDS),,,Beets,1,787777,75102500,23,16,,1108,"Carotene, alpha",322,4/1/2020,,UG,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,24,16,,1109,Vitamin E (alpha-tocopherol),323,4/1/2020,,MG,1,314.3931,0.04
,,,Survey (FNDDS),,,Beets,1,787777,75102500,25,16,,1114,Vitamin D (D2 + D3),328,4/1/2020,,UG,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,26,16,,1120,"Cryptoxanthin, beta",334,4/1/2020,,UG,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,27,16,,1122,Lycopene,337,4/1/2020,,UG,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,28,16,,1123,Lutein + zeaxanthin,338,4/1/2020,,UG,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,29,16,,1162,"Vitamin C, total ascorbic acid",401,4/1/2020,,MG,1,314.3931,4.9
,,,Survey (FNDDS),,,Beets,1,787777,75102500,30,16,,1165,Thiamin,404,4/1/2020,,MG,1,314.3931,0.031
,,,Survey (FNDDS),,,Beets,1,787777,75102500,31,16,,1166,Riboflavin,405,4/1/2020,,MG,1,314.3931,0.04
,,,Survey (FNDDS),,,Beets,1,787777,75102500,32,16,,1167,Niacin,406,4/1/2020,,MG,1,314.3931,0.334
,,,Survey (FNDDS),,,Beets,1,787777,75102500,33,16,,1175,Vitamin B-6,415,4/1/2020,,MG,1,314.3931,0.067
,,,Survey (FNDDS),,,Beets,1,787777,75102500,34,16,,1177,"Folate, total",417,4/1/2020,,UG,1,314.3931,109
,,,Survey (FNDDS),,,Beets,1,787777,75102500,35,16,,1178,Vitamin B-12,418,4/1/2020,,UG,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,36,16,,1180,"Choline, total",421,4/1/2020,,MG,1,314.3931,6
,,,Survey (FNDDS),,,Beets,1,787777,75102500,37,16,,1185,Vitamin K (phylloquinone),430,4/1/2020,,UG,1,314.3931,0.2
,,,Survey (FNDDS),,,Beets,1,787777,75102500,38,16,,1186,Folic acid,431,4/1/2020,,UG,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,39,16,,1187,"Folate, food",432,4/1/2020,,UG,1,314.3931,109
,,,Survey (FNDDS),,,Beets,1,787777,75102500,40,16,,1190,"Folate, DFE",435,4/1/2020,,UG,1,314.3931,109
,,,Survey (FNDDS),,,Beets,1,787777,75102500,41,16,,1242,"Vitamin E, added",573,4/1/2020,,MG,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,42,16,,1246,"Vitamin B-12, added",578,4/1/2020,,UG,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,43,16,,1253,Cholesterol,601,4/1/2020,,MG,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,44,16,,1258,"Fatty acids, total saturated",606,4/1/2020,,G,1,314.3931,0.027
,,,Survey (FNDDS),,,Beets,1,787777,75102500,45,16,,1259,4:00,607,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,46,16,,1260,6:00,608,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,47,16,,1261,8:00,609,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,48,16,,1262,10:00,610,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,49,16,,1263,12:00,611,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,50,16,,1264,14:00,612,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,51,16,,1265,16:00,613,4/1/2020,,G,1,314.3931,0.026
,,,Survey (FNDDS),,,Beets,1,787777,75102500,52,16,,1266,18:00,614,4/1/2020,,G,1,314.3931,0.001
,,,Survey (FNDDS),,,Beets,1,787777,75102500,53,16,,1268,18:01,617,4/1/2020,,G,1,314.3931,0.032
,,,Survey (FNDDS),,,Beets,1,787777,75102500,54,16,,1269,18:02,618,4/1/2020,,G,1,314.3931,0.055
,,,Survey (FNDDS),,,Beets,1,787777,75102500,55,16,,1270,18:03,619,4/1/2020,,G,1,314.3931,0.005
,,,Survey (FNDDS),,,Beets,1,787777,75102500,56,16,,1271,20:04,620,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,57,16,,1272,22:6 n-3 (DHA),621,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,58,16,,1275,16:01,626,4/1/2020,,G,1,314.3931,0
,,,Survey (FNDDS),,,Beets,1,787777,75102500,59,16,,1276,18:04,627,4/1/2020,,G,1,314.3931,0
